ts,edition,stage,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd
2026-04-20T06:18:42+00:00,adhoc,classify,claude-haiku-4-5-20251001,3961,2481,0,0,0.016366
2026-04-20T06:21:08+00:00,2026-W17,generate,claude-opus-4-7,20396,4096,0,0,0.61314
2026-04-20T06:29:39+00:00,adhoc,classify,claude-haiku-4-5-20251001,3965,1983,0,0,0.01388
2026-04-20T06:33:04+00:00,2026-W17,generate,claude-opus-4-7,21127,7040,0,0,0.844905
2026-04-20T06:40:31+00:00,adhoc,classify,claude-haiku-4-5-20251001,3965,2545,0,0,0.01669
2026-04-20T06:41:37+00:00,2026-W17,generate,claude-opus-4-7,8943,3999,0,0,0.43407
2026-04-20T17:34:15+00:00,gold-gen,gold_classify_opus,claude-opus-4-7,4802,796,0,0,0.13173
2026-04-20T17:34:22+00:00,gold-gen,gold_detect_opus,claude-opus-4-7,4810,734,0,0,0.1272
2026-04-20T17:35:16+00:00,gold-gen,gold_extract_opus,claude-opus-4-7,5392,5566,0,0,0.49833
2026-04-20T17:35:18+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,462,24,0,0,0.001746
2026-04-20T17:35:19+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,466,24,0,0,0.001758
2026-04-20T17:35:21+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,990,17,0,0,0.003225
2026-04-20T17:35:23+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,487,24,0,0,0.001821
2026-04-20T17:35:24+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,480,24,0,0,0.0018
2026-04-20T17:35:26+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,445,24,0,0,0.001695
2026-04-20T17:35:27+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,399,24,0,0,0.001557
2026-04-20T17:35:29+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,395,24,0,0,0.001545
2026-04-20T17:35:31+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,360,24,0,0,0.00144
2026-04-20T17:35:32+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,446,24,0,0,0.001698
2026-04-20T17:35:34+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,444,24,0,0,0.001692
2026-04-20T17:35:36+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,680,24,0,0,0.0024
2026-04-20T17:35:41+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,426,24,0,0,0.001638
2026-04-20T17:35:43+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,424,13,0,0,0.001467
2026-04-20T17:35:44+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,389,24,0,0,0.001527
2026-04-20T17:35:46+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,464,24,0,0,0.001752
2026-04-20T17:35:48+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,458,13,0,0,0.001569
2026-04-20T17:35:49+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,423,24,0,0,0.001629
2026-04-20T17:35:50+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,457,24,0,0,0.001731
2026-04-20T17:35:52+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,454,24,0,0,0.001722
2026-04-20T17:35:53+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,720,24,0,0,0.00252
2026-04-20T17:35:56+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,467,82,0,0,0.002631
2026-04-20T17:35:57+00:00,gold-gen,gold_validate_task_2_proposal_detect,claude-sonnet-4-6,475,24,0,0,0.001785
2026-04-20T17:35:59+00:00,gold-gen,gold_validate_task_3_extract,claude-sonnet-4-6,779,24,0,0,0.002697
2026-04-20T17:36:01+00:00,gold-gen,gold_validate_task_1_classify,claude-sonnet-4-6,431,24,0,0,0.001653
